Year,Id,NGL,Pt,DCO,DBO5,MES,site_name,SIRET_code,discharge_environment,lat_site,long_site,code_epsg,code_ape,libelle_ape,code_eprtr,libelle_eprtr
2004,0006302330,NA,NA,380000,200000,NA,BARILLA FRANCE,43322535600065,water (indirect),-1.590743,46450111,4326,1071A,Fabrication industrielle de pain et de pâtisserie fraîche,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0006302424,NA,NA,160000,59000,NA,ELIS ANJOU (SAS LES LAVANDIERES),06220100900057,water (indirect),429288,6717073000000,2154,7729Z,Location et location-bail d'autres biens personnels et domestiques,NA,NA
2004,0006400033,NA,15000,NA,NA,NA,LFoundry ROUSSET SAS,52147491600025,water (indirect),866191,1836570,27572,2611Z,Fabrication de composants électroniques,NA,NA
2004,0006400061,93000,NA,270000,NA,NA,PASCALE,43399847300014,water (indirect),5.601169,43475702,4326,3700Z,Collecte et traitement des eaux usées,5.(g),Installations autonomes de traitement des eaux industrielles usées provenant d'une ou de plusieurs des activités énumérées dans la présente annexe d'une capacité de 10 000 m3 par jour
2004,0006400069,51000,8400,NA,NA,NA,STMICROELECTRONICS SAS,41496958400013,water (indirect),910737,6267341000000,2154,2611Z,Fabrication de composants électroniques,NA,NA
2004,0006400287,NA,9700,220000,57000,NA,MAJ BAM LE CANNET,77573383501107,water (indirect),977955,1852637,27572,7729Z,Location et location-bail d'autres biens personnels et domestiques,NA,NA
2004,0006400347,NA,NA,NA,48000,NA,MAJ SA,77573383500661,water (indirect),1036821,6309724000000,2154,7729Z,Location et location-bail d'autres biens personnels et domestiques,NA,NA
2004,0006400384,NA,NA,NA,79000,NA,CONTINENTALE NUTRITION - Site de Vedène,61582077600057,water (indirect),806187,1889682,27572,1092Z,Fabrication d'aliments pour animaux de compagnie,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0006400503,350000,NA,NA,66000,NA,ROUSSELOT Isle sur Sorgue SAS,48487014200011,water (indirect),865228,6315979000000,2154,2059Z,Fabrication d'autres produits chimiques n.c.a.,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0006400651,86000,NA,560000,110000,NA,ARKEMA FRANCE SA,NA,water (indirect),NA,NA,NA,NA,NA,NA,NA
2004,0006400719,NA,5100,NA,NA,NA,BTMF,07180564200015,water (indirect),846880,1815839,27572,9601A,Blanchisserie-teinturerie de gros,NA,NA
2004,0006400956,NA,NA,180000,NA,NA,OXOCHIMIE,66204888300026,water (indirect),863204,6255803000000,2154,2014Z,Fabrication d'autres produits chimiques organiques de base,4.(a).(ii),"hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes"
2004,0006401238,NA,NA,450000,220000,NA,SAS CONSERVES DE PROVENCE,45017742300016,water (indirect),802984,1910238,27572,1039A,Autre transformation et conservation de légumes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2004,0006401794,NA,14000,NA,NA,NA,STMicroelectronics (FAB6),34145938600114,water (indirect),866191,1836570,27572,321C,Fabrication de composants électroniques actifs,NA,NA
2004,0006500510,130000,NA,1600000,590000,990000,EURO DISNEY ASSOCIES SAS,39747182200080,water (indirect),683006,6863167000000,2154,9321Z,Activités des parcs d'attractions et parcs à thèmes,NA,NA
