identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0006102786;EUROPAGRO;71718017800146;"ALLEE MARCONI 
 BP 1416";26014;VALENCE;DROME;AUVERGNE-RHONE-ALPES;802073;1995695;27572;4632B;Commerce de gros (commerce interentreprises) de produits à base de viande;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0005200447;BARDINET;30171146100071;Domaine de Fleurenne B.P. N° 513;33290;BLANQUEFORT;GIRONDE;NOUVELLE-AQUITAINE;365112;1994375;27572;1101Z;Production de boissons alcooliques distillées;;
0005201648;DARBO SAS;98652021100012;1089 Route de la Lande;40260;LINXE;LANDES;NOUVELLE-AQUITAINE;311978;1886423;27572;1621Z;Fabrication de placage et de panneaux de bois;6.(b);Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour
0005201628;VEOLIA PROPRETE Aquitaine Agence Services aux Collectivités Gironde;46420237300203;19 avenue du Périgord BP 69;40465;LALUQUE;LANDES;NOUVELLE-AQUITAINE;332001;1878100;27572;3811Z;Collecte des déchets non dangereux;;
0005205825;SICTOM du Périgord Noir;25240228400027;"""La Borne 120""";24200;MARCILLAC-SAINT-QUENTIN;DORDOGNE;NOUVELLE-AQUITAINE;510085;1996337;27572;3811Z;Collecte des déchets non dangereux;;
0005301837;CONSTRUCTIONS MECANIQUES DE NORMANDIE;56211096500109;"51 RUE DE LA BRETONNIERE
 BP 539";50105;CHERBOURG;MANCHE;NORMANDIE;313807;2522472;27572;3011Z;Construction de navires et de structures flottantes;9.(e);Installations destinées à la construction, à la peinture ou au décapage de bateaux avec une capacité d'accueil des bateaux de 100 m de long
0005302115;CADECAP INDUSTRIE site de FLERS;43144028800014;za la poterie;61100;SAINT-GEORGES-DES-GROSEILLERS;ORNE;NORMANDIE;386468;2423100;27572;2561Z;Traitement et revêtement des métaux;;
0005303098;ARCD;33937056100013;la Maison Neuve;50200;COUTANCES;MANCHE;NORMANDIE;323575;2457086;27572;3831Z;Démantèlement d'épaves;;
0005405493;Bio Bessin Energie - site de Ryes;49771470900035;"BIO BESSIN ENERGIE
 Plate-forme de compostage de Ryes
 Route départementale 127";14400;RYES;CALVADOS;NORMANDIE;384611;2483337;27572;3821Z;Traitement et élimination des déchets non dangereux;;
0005501551;CASSE AUTO FOUGERAISE;41849722800019;ZI de l'Aumaillerie;35133;LA SELLE-EN-LUITRE;ILLE-ET-VILAINE;BRETAGNE;343100;2373600;27572;3831Z;Démantèlement d'épaves;;
0005501575;KERVALIS;40326425200020;La Haie Robert;35502;VITRE;ILLE-ET-VILAINE;BRETAGNE;335950;2353158;27572;1013A;Préparation industrielle de produits à base de viande;8.(b).(i);matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
0005501872;BERNARD SAS (abattoir);86950022300019;Le Petit Kerbéthune;56500;MOREAC;MORBIHAN;BRETAGNE;214800;2337099;27572;1011Z;Transformation et conservation de la viande de boucherie;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0005503331;FARMOR;43312264500016;ZI Bellevue;22200;SAINT-AGATHON;COTES-D'ARMOR;BRETAGNE;198475;2409462;27572;1085Z;Fabrication de plats préparés;;
0005503338;SUEZ EAU FRANCE;54206255900738;ALLEE DU MARQUIS;22200;GRACES;COTES-D'ARMOR;BRETAGNE;192584;2409544;27572;3700Z;Collecte et traitement des eaux usées;;
0005503423;Sanders Bretagne;35245494600018;Saint Gérand BP 61;56302;PONTIVY;MORBIHAN;BRETAGNE;204830;2354045;27572;1091Z;Fabrication d'aliments pour animaux de ferme;8.(b).(ii);matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
0005503517;JOUET Alain sasu;81752300400015;"BOUDEMEL
 B. P 3";35137;BEDEE;ILLE-ET-VILAINE;BRETAGNE;281638;2361987;27572;3831Z;Démantèlement d'épaves;;
0005513901;CORNILLE;42932528500022;"ZA Bois de Cornillé
 Les Guichardières";35500;CORNILLE;ILLE-ET-VILAINE;BRETAGNE;328469;2348761;27572;1011Z;Transformation et conservation de la viande de boucherie;;
0005600013;SACRED Bertoise de Caoutchouc;50931563600019;"Lieu-dit ""Les Mandins""";03130;BERT;ALLIER;AUVERGNE-RHONE-ALPES;705513;2148082;27572;2219Z;Fabrication d'autres articles en caoutchouc;;
0005600202;PRADIER Eric - RECUP'AUTO;40805155500014;Rives;43230;COUTEUGES;HAUTE-LOIRE;AUVERGNE-RHONE-ALPES;691367;2021563;27572;3900Z;Dépollution et autres services de gestion des déchets;;
0005602446;SETELEN;44838953600070;4 route des Martoulets;03110;CHARMEIL;ALLIER;AUVERGNE-RHONE-ALPES;681638;2129824;27572;4222Z;Construction de réseaux électriques et de télécommunications;;
0005701523;TECHNICENTRE CHAMPAGNE ARDENNE D'EPERNAY;55204944793688;11, Quai de marne;51200;EPERNAY;MARNE;GRAND-EST;718562;2450655;27572;3317Z;Réparation et maintenance d'autres équipements de transport;;
0005703580;FRESNOY ENVIRONNEMENT;48208750900014;Ferme du Fresnoy;10400;MONTPOTHIER;AUBE;GRAND-EST;687152;2397637;27572;0161Z;Activités de soutien aux cultures;;
0005800613;ASK CHEMICALS FRANCE;68201234900028;"Le Goulet
 20 rue de la Croix du Vallot";27600;SAINT-PIERRE-LA-GARENNE;EURE;NORMANDIE;531600;2462500;27572;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;;
0005800840;SOLCERA;44031684200036;Rue de l'Industrie;27000;EVREUX;EURE;NORMANDIE;512206;2447889;27572;2344Z;Fabrication d'autres produits céramiques à usage technique;;
0005800942;SOFRASTOCK;77561848100086;rue des aérodromes;27220;SAINT-ANDRE-DE-L'EURE;EURE;NORMANDIE;522550;2434674;27572;5210B;Entreposage et stockage non frigorifique;;
