Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2005,1.33,323,2 000 - 10 000 PE,0.556,0.56066,3.25,3.27726,14.9,15.02497,36,36.30195,16.4,16.53755,0.235,0.23769,1.1,1.11259,0.902,0.91232,4.51,4.54783,2.09,2.10753,66,58,94,87,87,5.84,4.68,4.59,0.822,26.8,3.85,11.1,4.11,64.7,19.2,2.41,5,1.15,0.48700000000000004,6.7299999999999995,2.28,30.900000000000002,1.8699999999999999,74.5,9.34,34,4.32
2005,3.63,146,10 000 - 100 000 PE,1.21,1.21,8.08,8.08,41.1,41.1,95.8,95.8,42.3,42.3,0.374,0.374,2.12,2.12,1.31,1.31,6.98,6.98,2.46,2.46,74,69,97,93,94,6.67,5.68,5.09,0.617,33.9,3.51,11.9,3.28,79,18.7,2.33,5.32,0.916,0.28200000000000003,6.11,1.61,31.099999999999998,0.9909999999999999,72.4,5.2700000000000005,32,1.86
2005,2.94,12,> 100 000 PE,1.02,1.02,6.7,6.7,30.2,30.2,71.2,71.2,35.1,35.1,0.271,0.271,3.77,3.77,2.02,2.02,9.12,9.12,2.54,2.54,44,74,93,87,93,6.55,13.9,4.51,0.537,29.5,7.46,10.6,2.42,69.6,33.6,2.36,4.51,0.953,0.252,6.24,3.5100000000000002,28.1,1.88,66.3,8.489999999999998,32.7,2.3600000000000003
2006,0,312,unreported PE,0.49,0.49,3.86,3.86,14.9,14.9,33.6,33.6,18.7,18.7,0.165,0.165,1.84,1.84,1.87,1.87,5.7,5.7,2.04,2.04,52,66,87,83,89,7.89,11.2,3.86,1.02,30.4,11.3,8.69,3.1,68.6,34.6,2.25,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0.123,1342,0 - 200 PE,0.0325,0.03892,0.263,0.2635,1.02,1.02183,2.46,2.46442,1.03,1.03185,0.0257,0.03546,0.269,0.26951,0.212,0.21339,0.524,0.52497,0.181,0.18219,-2,3,79,79,82,6.73,7.58,3.87,0.791,26.2,6.21,9.36,1.95,63.3,15.5,2.42,2.47,0.871,0.7919999999999999,5.88,6.0200000000000005,22.8,4.760000000000001,55.1,11.700000000000001,23,4.069999999999999
2006,1.01,1484,200 - 2 000 PE,0.474,0.47589,2.79,2.7962,12.1,12.13052,28.3,28.37139,12.3,12.32735,0.232,0.23597,1.4,1.4082,1.2,1.20563,4.51,4.52138,2,2.01229,50,51,90,84,84,5.89,6.02,4.32,0.858,25.4,5.19,10.1,3.22,59.6,19.3,2.34,3.75,1.2899999999999998,0.639,7.590000000000001,3.82,32.800000000000004,3.28,76.89999999999999,12.3,33.300000000000004,5.47
2006,1.36,330,2 000 - 10 000 PE,0.544,0.54847,3.58,3.60941,16.4,16.53471,38.9,39.21954,18.5,18.65196,0.242,0.24399,1.2,1.20986,0.897,0.90437,4.63,4.66803,2.11,2.12733,66,56,95,88,89,6.57,4.98,4.6,0.745,30.2,3.71,10.9,3.85,71.5,19.2,2.36,5.16,1.1,0.49,7.25,2.44,33.300000000000004,1.82,78.8,9.379999999999999,37.400000000000006,4.28
2006,3.73,151,10 000 - 100 000 PE,1.25,1.25,8.34,8.34,42.4,42.4,98.5,98.5,45.8,45.8,0.354,0.354,2.17,2.17,1.05,1.05,6.76,6.76,2.34,2.34,74,72,98,93,95,6.66,6.13,5.08,0.485,33.8,2.97,11.8,3.12,78.7,19.1,2.33,6.43,0.9179999999999999,0.25999999999999995,6.119999999999999,1.59,31.099999999999998,0.772,72.3,4.96,33.6,1.71
2006,3.06,13,> 100 000 PE,1.06,1.06,7.28,7.28,30.2,30.2,70.5,70.5,34.6,34.6,0.336,0.336,4.48,4.48,2.61,2.61,10.3,10.3,3.34,3.34,39,68,91,85,90,6.88,13.3,4.16,0.583,28.6,7.77,9.69,2.31,66.7,30.8,2.33,3.96,0.948,0.301,6.52,4.01,27.099999999999998,2.34,63.2,9.26,31,3
2007,0,271,unreported PE,0.419,0.419,1.74,1.74,10.6,10.6,23.2,23.2,15.7,15.7,0.199,0.199,1.4,1.4,1.54,1.54,4.51,4.51,1.55,1.55,19,53,85,81,90,4.15,7.06,6.09,1.09,25.3,7.73,13.3,3.19,55.3,22.7,2.19,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
