Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
1998,3.18,16,> 100 000 PE,1.35,1.35,7.61,7.61,NA,NA,NA,NA,36.8,36.8,0.795,0.795,3.15,4.12302,NA,NA,NA,NA,7.13,7.13,44,41,NA,NA,81,5.62,5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,0.6859999999999999,6.56,3.5599999999999996,NA,NA,NA,NA,31.7,6.15
1999,2.5e-4,2,0 - 200 PE,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,0.129,134,200 - 2 000 PE,0.0357,0.058,0.178,0.28919,NA,NA,NA,NA,0.85,1.38097,0.0186,0.03011,0.0582,0.09865,NA,NA,NA,NA,0.115,0.18613,66,48,NA,NA,87,4.99,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,0.637,6.14,2.09,NA,NA,NA,NA,29.3,3.96
1999,0.681,149,2 000 - 10 000 PE,0.27,0.28288,1.45,1.50298,NA,NA,NA,NA,7.51,7.83212,0.142,0.14719,0.446,0.46836,NA,NA,NA,NA,0.645,0.66857,69,49,NA,NA,92,5.34,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,0.593,6.07,1.89,NA,NA,NA,NA,31.5,2.69
1999,2.4,84,10 000 - 100 000 PE,0.91,0.94667,4.82,5.01424,NA,NA,NA,NA,30.3,31.93618,0.442,0.45625,1.94,2.00256,NA,NA,NA,NA,3.73,3.85028,61,53,NA,NA,91,5.3,4.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,0.521,5.720000000000001,2.29,NA,NA,NA,NA,36.4,4.39
1999,3.09,15,> 100 000 PE,1.23,1.4395,7.47,7.47,NA,NA,NA,NA,39.7,39.7,0.834,0.834,3.03,4.19747,NA,NA,NA,NA,7.09,7.09,47,46,NA,NA,82,5.32,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,0.739,6.62,3.72,NA,NA,NA,NA,35.2,6.28
2000,2.5e-4,2,0 - 200 PE,7.3e-5,1.8e-4,3.65e-4,9.1e-4,NA,NA,NA,NA,7.3e-4,0.00182,5.84e-5,6e-5,0,0,NA,NA,NA,NA,8.39e-4,8.4e-4,NA,70,NA,NA,80,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.64,10,NA,NA,NA,NA,NA,20,9.2
2000,0.135,140,200 - 2 000 PE,0.0537,0.06089,0.27,0.29551,NA,NA,NA,NA,1.2,1.31445,0.0357,0.03685,0.0508,0.0934,NA,NA,NA,NA,0.25,0.2567,68,50,NA,NA,86,4.82,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,0.746,5.989999999999999,1.89,NA,NA,NA,NA,26.599999999999998,5.19
2000,0.68,150,2 000 - 10 000 PE,0.27,0.27692,1.45,1.47384,NA,NA,NA,NA,7.56,7.77728,0.151,0.15145,0.442,0.47073,NA,NA,NA,NA,1.04,1.04307,70,47,NA,NA,90,5.33,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1199999999999999,0.612,5.94,1.9,NA,NA,NA,NA,31.3,4.19
2000,2.43,84,10 000 - 100 000 PE,0.833,0.88433,4.93,4.93,NA,NA,NA,NA,30.8,30.8,0.419,0.419,1.88,1.93333,NA,NA,NA,NA,3.47,3.47,61,54,NA,NA,89,5.61,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9970000000000001,0.472,5.56,2.18,NA,NA,NA,NA,34.7,3.92
2000,3.09,15,> 100 000 PE,1.2,1.40439,6.49,7.59541,NA,NA,NA,NA,41.8,41.8,0.776,0.776,2.94,3.8815,NA,NA,NA,NA,7.9,7.9,59,49,NA,NA,81,5.43,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,0.6880000000000001,6.7299999999999995,3.44,NA,NA,NA,NA,37,7
2001,2.5e-4,2,0 - 200 PE,7.3e-5,1.8e-4,3.65e-4,9.1e-4,NA,NA,NA,NA,7.3e-4,0.00182,5.84e-5,6e-5,0,0,NA,NA,NA,NA,8.39e-4,8.4e-4,NA,70,NA,NA,80,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.64,10,NA,NA,NA,NA,NA,20,9.2
2001,0.143,150,200 - 2 000 PE,0.0647,0.06896,0.314,0.32736,NA,NA,NA,NA,1.33,1.4087,0.0384,0.03856,0.0699,0.11164,NA,NA,NA,NA,0.28,0.28118,64,50,NA,NA,88,4.78,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0.739,6.289999999999999,2.14,NA,NA,NA,NA,27,5.4
2001,0.681,150,2 000 - 10 000 PE,0.263,0.27035,1.5,1.50553,NA,NA,NA,NA,8.17,8.34786,0.144,0.144,0.465,0.48945,NA,NA,NA,NA,1.14,1.14,68,47,NA,NA,88,5.63,3.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.58,6.0600000000000005,1.97,NA,NA,NA,NA,33.6,4.57
2001,2.38,84,10 000 - 100 000 PE,0.765,0.78904,4.75,4.75,NA,NA,NA,NA,28,28.30335,0.393,0.393,1.9,1.9458,NA,NA,NA,NA,3.17,3.17,59,50,NA,NA,90,6.09,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909,0.453,5.47,2.2399999999999998,NA,NA,NA,NA,32.599999999999994,3.65
2001,3.09,15,> 100 000 PE,1.31,1.35832,7.25,7.25,NA,NA,NA,NA,38.1,38.1,0.833,0.833,4.32,4.32,NA,NA,NA,NA,7.99,7.99,40,36,NA,NA,79,5.54,5.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.7380000000000001,6.42,3.83,NA,NA,NA,NA,33.8,7.08
2002,4e-4,3,0 - 200 PE,7.3e-5,2.9e-4,3.65e-4,0.00146,NA,NA,NA,NA,7.3e-4,0.00292,5.84e-5,9e-5,0,0,NA,NA,NA,NA,8.39e-4,0.00134,NA,70,NA,NA,80,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.64,10,NA,NA,NA,NA,NA,20,9.2
2002,0.15,164,200 - 2 000 PE,0.0591,0.06382,0.321,0.33275,NA,NA,NA,NA,1.43,1.48544,0.0325,0.03287,0.0737,0.12041,NA,NA,NA,NA,0.263,0.26601,64,53,NA,NA,84,5.23,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17,0.601,6.08,2.2,NA,NA,NA,NA,27.099999999999998,4.8500000000000005
2002,0.68,152,2 000 - 10 000 PE,0.24,0.24578,1.48,1.4965,NA,NA,NA,NA,7.81,7.94432,0.136,0.136,0.423,0.45404,NA,NA,NA,NA,1.31,1.31,70,48,NA,NA,88,6.13,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,0.5469999999999999,6.04,1.83,NA,NA,NA,NA,32,5.2700000000000005
2002,2.42,86,10 000 - 100 000 PE,0.786,0.81143,4.95,4.99325,NA,NA,NA,NA,28.4,28.4,0.353,0.353,1.68,1.72701,NA,NA,NA,NA,3.28,3.28,66,58,NA,NA,88,6.18,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9169999999999999,0.399,5.64,1.95,NA,NA,NA,NA,32.099999999999994,3.7100000000000004
2002,3.13,15,> 100 000 PE,1.25,1.25,7.21,7.21,NA,NA,NA,NA,37.9,37.9,0.747,0.747,4.51,4.51,NA,NA,NA,NA,9.24,9.24,37,40,NA,NA,76,5.76,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.6539999999999999,6.3,3.94,NA,NA,NA,NA,33.2,8.08
2003,9e-4,7,0 - 200 PE,1.35e-4,3.5e-4,0.00103,0.00185,NA,NA,NA,NA,0.00256,0.00461,1.06e-4,1.5e-4,1.02e-4,6.1e-4,NA,NA,NA,NA,0.001,0.00138,32,76,NA,NA,88,6.51,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,0.446,5.62,1.8699999999999999,NA,NA,NA,NA,14,4.22
2003,0.161,178,200 - 2 000 PE,0.0587,0.06169,0.346,0.3589,NA,NA,NA,NA,1.42,1.46443,0.0889,0.0893,0.0811,0.12364,NA,NA,NA,NA,0.299,0.30035,64,53,NA,NA,82,5.84,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,1.5299999999999998,6.119999999999999,2.11,NA,NA,NA,NA,25,5.13
