Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2011,0.023,193,0 - 200 PE,0.0107,0.01131,0.0925,0.09565,0.295,0.30199,0.835,0.84407,0.377,0.38628,0.00521,0.00628,0.0395,0.04905,0.0257,0.03031,0.124,0.14383,0.038,0.04447,52,47,90,84,89,8.56,7.74,3.2,0.639,27.5,5.05,8.97,2.99,76.5,23.6,2.8,4.73,1.35,0.748,11.4,5.8500000000000005,36,3.62,101,17.1,46,5.3
2011,1.05,1247,200 - 2 000 PE,0.37,0.3808,3.02,3.07524,11,11.12739,28,28.32426,13.4,13.53749,0.152,0.16095,0.784,0.8504,0.554,0.57708,3.17,3.30074,1.29,1.34248,72,58,95,88,90,8.1,5.33,3.62,0.668,29.4,3.59,9.2,3.86,74.5,20.5,2.54,5.72,0.998,0.421,8.059999999999999,2.2300000000000004,29.3,1.51,74.2,8.65,35.4,3.5100000000000002
2011,3.27,722,2 000 - 10 000 PE,1.01,1.01893,8.18,8.27376,29.7,29.84193,74.9,75.25794,36.5,36.67443,0.19,0.19239,1.19,1.21815,0.633,0.63826,4.97,5.01132,1.42,1.43181,85,81,98,93,96,8.12,6.35,3.62,0.525,29.4,3.32,9.14,4.11,74.2,26,2.52,7.85,0.852,0.161,6.930000000000001,1.02,25,0.5339999999999999,63.1,4.2,30.8,1.2
2011,7.43,249,10 000 - 100 000 PE,1.85,1.88539,14.3,14.90345,62.5,63.69577,151,153.88898,74,75.41579,0.229,0.229,1.79,1.84183,0.831,0.831,8.07,8.07,1.55,1.55,87,88,99,95,98,7.92,7.95,4.13,0.45,33.8,3.62,10.1,4.38,81.8,35.2,2.42,9.72,0.694,0.0846,5.52,0.68,23.5,0.306,56.7,2.98,27.799999999999997,0.5720000000000001
2011,6.07,28,> 100 000 PE,1.96,1.96,14.5,14.84246,66.9,66.9,158,158,78.3,78.3,0.268,0.268,2.05,2.09842,1.19,1.19,9.17,9.17,1.97,1.97,86,86,98,94,97,7.58,7.79,4.49,0.572,34.1,4.45,10.6,4.39,80.4,34.3,2.36,7.69,0.885,0.121,6.720000000000001,0.949,30.200000000000003,0.5379999999999999,71.2,4.14,35.3,0.889
2012,0,53,unreported PE,0.082,0.082,0.616,0.616,2.37,2.37,5.83,5.83,2.71,2.71,0.0365,0.0365,0.283,0.283,0.135,0.135,0.731,0.731,0.306,0.306,54,56,94,87,89,7.63,7.82,3.79,0.472,28.9,3.71,9.29,2.55,71.1,20,2.46,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,0.0293,233,0 - 200 PE,0.0101,0.01216,0.0841,0.09984,0.277,0.33154,0.747,0.88685,0.36,0.43088,0.00643,0.00835,0.0429,0.05743,0.0258,0.03359,0.14,0.18137,0.0586,0.0762,44,31,90,79,82,8.26,6.77,3.31,0.564,27.4,4.02,8.88,3.12,73.5,21.7,2.69,5.4,1.13,0.78,9.33,5.37,30.900000000000002,3.13,82.8,16.9,40.300000000000004,7.11
2012,1.07,1315,200 - 2 000 PE,0.355,0.38706,2.93,3.20486,10.2,11.08721,26.4,28.6325,13.3,14.42748,0.186,0.20246,0.967,1.09972,0.763,0.82331,4.54,4.89023,2.15,2.33128,66,48,93,83,84,8.28,5.44,3.46,0.74,28.6,4.07,8.96,4.4,74.1,24.1,2.59,5.93,0.9890000000000001,0.517,8.17,2.81,28.299999999999997,2.1,73.2,12.5,36.900000000000006,5.95
2012,3.36,752,2 000 - 10 000 PE,1.18,1.18938,8.69,8.7643,29.9,30.11499,77.2,77.75509,38.5,38.77683,0.207,0.20896,1.31,1.33406,0.664,0.66978,5.42,5.46721,1.42,1.43237,85,82,98,93,96,7.38,6.46,3.44,0.501,25.4,3.22,8.88,4.08,65.5,26.2,2.58,8.16,0.967,0.17,7.14,1.09,24.5,0.546,63.4,4.45,31.6,1.17
2012,7.53,252,10 000 - 100 000 PE,1.92,1.93819,14.7,15.36736,62.8,63.39501,156,157.47805,76.2,76.92197,0.232,0.23346,1.86,1.94844,0.944,0.94995,9.01,9.0668,1.78,1.79122,87,88,98,94,98,7.94,8.19,4.04,0.489,32.7,4.07,10,4.68,81.3,38.9,2.48,9.54,0.705,0.0848,5.61,0.7110000000000001,23.099999999999998,0.34600000000000003,57.3,3.3,28,0.652
2012,6.35,29,> 100 000 PE,2.02,2.02,15.8,16.15614,70.5,70.5,167,167,83,83,0.272,0.272,2.19,2.19,1.27,1.27,9.88,9.88,2.16,2.16,86,87,98,94,97,8.05,8.04,4.36,0.579,34.9,4.66,10.4,4.52,82.8,36.3,2.37,7.81,0.871,0.11699999999999999,6.96,0.9430000000000001,30.4,0.546,72.1,4.26,35.8,0.934
2013,0,49,unreported PE,0.041,0.041,0.35,0.35,1.49,1.49,3.4,3.4,1.65,1.65,0.0179,0.0179,0.121,0.121,0.117,0.117,0.529,0.529,0.264,0.264,65,56,92,85,84,8.53,6.9,4.25,0.963,36.3,6.55,9.71,4.32,82.8,29.6,2.28,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.0313,266,0 - 200 PE,0.013,0.0153,0.105,0.12327,0.338,0.39458,0.954,1.11368,0.452,0.52766,0.00729,0.00894,0.056,0.07041,0.0215,0.02616,0.137,0.16672,0.0512,0.0619,43,42,93,85,89,8.08,7.86,3.2,0.368,25.8,2.93,9.01,2.33,72.8,18.6,2.82,6.35,1.34,0.784,10.8,6.17,34.6,2.3,97.5,14.6,46.199999999999996,5.43
2013,1.19,1459,200 - 2 000 PE,0.42,0.453,3.39,3.65329,12.1,12.96826,30.7,32.90146,15.4,16.49687,0.179,0.19474,1,1.12526,0.608,0.66124,3.87,4.20215,1.74,1.88734,69,57,95,87,89,8.06,5.81,3.55,0.581,28.6,3.39,9.01,3.68,72.6,21.6,2.54,6.35,1.0399999999999998,0.449,8.43,2.6,29.9,1.5299999999999998,76,9.68,38,4.36
2013,3.43,772,2 000 - 10 000 PE,1.1,1.1039,9.14,9.24135,30.5,30.58922,79.1,79.33139,39.9,40.01672,0.209,0.20971,1.39,1.42038,0.716,0.718,5.91,5.92647,1.59,1.59724,85,81,98,93,96,8.41,6.87,3.31,0.489,27.9,3.36,8.59,4.06,72.2,27.9,2.59,8.25,0.878,0.16799999999999998,7.39,1.14,24.5,0.574,63.4,4.7299999999999995,32,1.28
