Year,basin,PE_bin,sludge_production,sludge_spread,sludge_compost,sludge_landfill,sludge_incinerated,sludge_to_other_WWTP,sludge_industrial_valorisation,capacity,nb_WWTP
2013,Rhin-Meuse,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.569891,89
2013,Rhin-Meuse,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.20355,9
2013,Seine-Normandie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.039095,349
2013,Seine-Normandie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.092416,1547
2013,Seine-Normandie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.870938,456
2013,Seine-Normandie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,5.165262,178
2013,Seine-Normandie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,17.566299,26
2013,Loire-Bretagne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.178422,1771
2013,Loire-Bretagne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,2.253448,3455
2013,Loire-Bretagne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,3.312586,751
2013,Loire-Bretagne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,7.316199,246
2013,Loire-Bretagne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.489997,30
2013,Adour-Garonne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.121909,1221
2013,Adour-Garonne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.161863,1764
2013,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.677478,387
2013,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.323349,162
2013,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.7089,17
2013,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.115462,1072
2013,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.752419,2674
2013,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,3.143649,708
2013,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.227261,332
2013,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,11.707514,41
2014,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.003109,24
2014,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.20873,236
2014,Artois-Picardie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.735177,145
2014,Artois-Picardie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.527087,86
2014,Artois-Picardie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.500333,12
2014,Rhin-Meuse,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.01333,111
2014,Rhin-Meuse,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.285548,420
2014,Rhin-Meuse,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.835797,174
2014,Rhin-Meuse,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.662891,92
2014,Rhin-Meuse,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.20355,9
2014,Seine-Normandie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.040375,358
2014,Seine-Normandie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.109794,1574
2014,Seine-Normandie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.939058,469
2014,Seine-Normandie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,5.185262,179
2014,Seine-Normandie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,17.886299,27
2014,Loire-Bretagne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.179916,1792
