Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2005,0,1,unreported PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,40,3.75,NA,4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,0.113,1068,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,56,3.74,NA,4.11,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,1.76,2705,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,67,3.81,NA,4.22,NA,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,3.07,732,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,83,5.56,NA,4.73,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,9.79,321,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,90,6.25,NA,4.74,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,11.5,38,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,85,7.17,NA,4.23,NA,30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0.118,1124,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,56,3.74,NA,4.1,NA,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1.77,2733,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,67,3.87,NA,4.27,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,3.11,738,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,84,6.14,NA,4.5,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,10,322,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,90,5.95,NA,4.73,NA,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,11.5,38,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,86,7.86,NA,3.8,NA,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.121,1154,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,54,4.19,NA,3.7,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,1.79,2772,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,67,3.92,NA,4.19,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,3.11,737,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,86,6.07,NA,4.49,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,10.1,326,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,92,6.33,NA,4.52,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,11.5,38,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,88,7.11,NA,4.32,NA,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0,4,unreported PE,0.00678,0.00678,0.043,0.043,0.25,0.25,0.582,0.582,0.224,0.224,0.00123,0.00123,0.0037200000000000002,0.0037200000000000002,0.0107,0.0107,0.0437,0.0437,0.00965,0.00965,92,82,96,92,96,7.11,3.02,3.61,0.755,35.1,2.28,9.05,6.78,79.4,20.5,2.33,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.00218,16,0 - 200 PE,0.00312,0.00493,0.0188,0.04657,0.115,0.115,0.267,0.267,0.119,0.119,3.87e-4,6.5e-4,0.00675,0.01429,0.00595,0.00595,0.0261,0.0261,0.00994,0.00994,66,88,95,90,92,6.47,20.6,3.54,0.548,22.4,9.65,9.43,2.2,59.6,40,2.31,4.39,6.19,0.815,58.4,17.9,145,7.47,336,32.800000000000004,150,12.5
2009,0.484,528,200 - 2 000 PE,0.147,0.20818,0.753,1.53995,6.15,6.39617,15.2,15.80842,7.44,7.68582,0.0618,0.08803,0.313,0.54291,0.338,0.35777,1.69,1.8036,0.569,0.59195,63,57,94,89,92,7.22,6.35,4.16,0.651,30.2,4.09,10.3,3.22,74.3,20.6,2.46,4.96,1.17,0.49799999999999994,8.71,3.07,36.2,2.02,89.2,10.200000000000001,43.5,3.35
2009,2.65,577,2 000 - 10 000 PE,0.931,0.98036,4.87,7.73405,30.1,30.846,72.3,74.09188,37,37.26574,0.349,0.36653,1.34,1.90055,1.13,1.16304,6.69,6.84443,2.5,2.51061,77,63,96,91,93,7.49,5.37,4.18,0.532,31.8,3.17,10.1,3.45,76.3,18.8,2.4,5.92,1.01,0.379,7.99,1.97,31.8,1.2,76.5,7.07,38.6,2.6
2009,8.97,289,10 000 - 100 000 PE,2.46,2.52031,13.4,19.1869,82.8,83.73942,200,202.26913,98.8,99.02081,0.597,0.60507,4.84,6.12569,4.36,4.41345,20.5,20.7209,6.1,6.11842,69,76,95,90,94,7.55,10.6,4.4,0.648,33.2,7.26,10.8,3.25,80.1,34.1,2.42,4.69,0.771,0.185,5.87,1.8699999999999999,25.6,1.35,61.9,6.32,30.3,1.8699999999999999
2009,10.5,35,> 100 000 PE,3.65,3.65,15.7,24.50355,123,123,288,288,141,141,1.42,1.42,8.95,13.32714,11,11,42,42,13.5,13.5,45,61,91,85,90,7.05,13.8,4.93,0.612,33.6,7.78,11.4,2.6,79,29.6,2.35,3.81,0.953,0.37,6.4,3.48,32,2.8800000000000003,75.2,11,36.7,3.5300000000000002
2010,0,9,unreported PE,0.00711,0.00711,0.0467,0.0467,0.375,0.375,0.779,0.779,0.237,0.237,8.11e-4,8.1e-4,0.00444,0.00444,0.00654,0.00654,0.0385,0.0385,0.0119,0.0119,92,89,98,95,95,8.11,5.04,4.58,0.636,49.6,4.23,10.7,5.4,102,36,2.07,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,0.00629,51,0 - 200 PE,0.00477,0.0066,0.015,0.02986,0.147,0.147,0.403,0.41285,0.184,0.184,0.00152,0.00217,0.00642,0.01262,0.0181,0.01918,0.0677,0.07361,0.0385,0.04186,59,68,87,83,78,3.93,5.16,2.42,1.16,17.6,9.29,7.48,5.7,45.1,36.1,2.75,3.75,2.8800000000000003,0.9460000000000001,13,5.5,63.8,8.370000000000001,180,32.099999999999994,80.3,18.3
2010,0.937,1097,200 - 2 000 PE,0.291,0.39279,1.46,2.89112,12.4,12.63796,30.5,31.14405,15.3,15.55553,0.124,0.16794,0.614,1.04846,0.734,0.77158,3.78,3.97252,1.49,1.52736,63,57,94,88,90,7.24,6.06,4.1,0.691,32,4.35,10.4,3.72,78.9,22.8,2.46,5.09,1.15,0.491,8.48,3.07,37.1,2.26,91.2,11.6,45.6,4.460000000000001
2010,3.02,673,2 000 - 10 000 PE,0.999,1.03154,5.42,8.23692,32.2,32.57316,79.4,80.32016,38.9,39.05219,0.357,0.36767,1.47,2.00725,1.25,1.28022,7.29,7.41056,2.58,2.59144,76,65,96,91,93,7.93,5.65,3.96,0.574,31.6,3.45,9.92,3.48,77.9,20.1,2.46,5.8,0.9359999999999999,0.33399999999999996,7.47,1.82,29.6,1.16,72.9,6.720000000000001,35.5,2.35
2010,9.98,321,10 000 - 100 000 PE,2.75,2.81968,15.9,21.93532,92.5,94.16615,222,225.99876,107,108.2205,0.654,0.6569,5.23,6.59749,4.09,4.14001,20.9,21.03496,6.56,6.56,72,76,96,91,94,7.62,10.8,4.32,0.561,33.5,6.29,10.4,3.05,80.1,31.9,2.4,5.08,0.773,0.18100000000000002,6.029999999999999,1.81,25.9,1.14,62,5.77,29.9,1.8
2010,11.5,40,> 100 000 PE,4.11,4.11,18,26.89704,132,132,311,311,152,152,1.41,1.41,10.1,14.43517,12,12,46,46,15.4,15.4,45,66,91,85,90,7.69,14.4,4.79,0.643,32.2,8.53,11,2.73,75.8,32.7,2.35,3.83,0.98,0.33599999999999997,6.4,3.44,31.6,2.8600000000000003,74.2,11,36.2,3.68
2011,0,6,unreported PE,0.00206,0.00206,0.0089,0.0089,0.245,0.245,0.458,0.458,0.0736,0.0736,8.37e-4,8.4e-4,0.0011,0.0011,0.00375,0.00375,0.0213,0.0213,0.00635,0.00635,91,60,99,96,92,8.96,1.45,11.4,3.02,119,4.49,21.7,16,222,25.5,1.87,5.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0.00795,63,0 - 200 PE,0.00214,0.00362,0.0163,0.02975,0.0989,0.10363,0.242,0.25697,0.114,0.12105,0.00144,0.00253,0.0123,0.02103,0.0145,0.0161,0.0503,0.05936,0.0204,0.02272,24,29,85,78,81,9.73,10.6,2.75,0.645,26.6,6.69,6.53,2.59,62.7,24.5,2.45,3.52,1.25,0.869,10.200000000000001,7.23,35.7,5.56,88.7,20.5,41.6,7.82
2011,1.07,1239,200 - 2 000 PE,0.297,0.38824,1.55,3.30957,12.5,12.73184,30.2,30.77778,14.4,14.66315,0.142,0.18644,0.605,1.1075,0.802,0.84744,3.77,3.9595,1.52,1.56562,66,52,93,87,89,8.08,5.56,3.76,0.751,32.7,4.35,9.44,3.52,79.5,20.6,2.42,4.73,0.998,0.479,8.53,2.85,32.599999999999994,2.18,79.10000000000001,10.200000000000001,37.6,4.04
2011,3.14,698,2 000 - 10 000 PE,1.25,1.28112,5.73,8.24792,32.9,33.13097,79.4,80.05494,37.3,37.40598,0.343,0.35175,1.33,1.81437,1.1,1.11972,6.39,6.4704,1.92,1.92818,78,73,97,92,95,8.06,5.41,4.02,0.532,25.8,3.16,9.78,3.15,62.3,18.3,2.41,5.78,1.1199999999999999,0.307,7.19,1.58,28.9,0.9779999999999999,69.8,5.64,32.599999999999994,1.6800000000000002
2011,10.2,327,10 000 - 100 000 PE,2.66,2.7006,16.9,22.06286,92.6,93.90118,221,224.1054,116,117.2922,0.586,0.58836,4.85,6.02193,3.12,3.14634,16.9,16.94813,15.6,15.6,73,78,97,92,87,8.23,11.4,4.26,0.451,34.7,5.33,10.1,2.68,82.7,28.9,2.38,5.4,0.726,0.158,5.930000000000001,1.6199999999999999,25.2,0.844,60,4.55,31.4,4.18
