Code SANDRE;Date de mise en configuration actuelle;Date mise en service;Date de fermeture;Nom ouvrage;Commune d'implantation;Code insee commune;Cours d'eau;Entité Hydro;Masse d'eau;Code masse d'eau;X (L93);Y (L93);Capacité nominale;Unité;Exploitant;Maître d'ouvrage;Autorisation de rejet;Communes raccordées
"028836901735";"22/05/2006";"22/05/2006";"";"RAMONCHAMP";"RAMONCHAMP";"88369";"";"A4040060";"MOSELLE 1";"FRCR208";"978749";"6761201";"126";"kg/j DBO5";"CNE DE RAMONCHAMP";"CNE DE RAMONCHAMP";"17/07/2003";
"025440500078";"01/01/1984";"01/01/1984";"31/07/2010";"OCHEY";"OCHEY";"54405";"";"A5610200";"BOUVADE ";"FRCR272";"916731";"6835885";"15";"kg/j DBO5";"CNE DE OCHEY";"CNE DE OCHEY";"05/06/2008";
"028812801671";"01/01/1988";"01/01/1988";"";"DENIPAIRE MAIRIE";"DENIPAIRE";"88128";"";"A6080300";"HURE";"FRCR293";"993619";"6812150";"7,8";"kg/j DBO5";"CNE DE DENIPAIRE";"CNE DE DENIPAIRE";"";
"025457101861";"01/08/2007";"01/08/2007";"";"VILLE-EN-VERMOIS";"VILLE-EN-VERMOIS";"54571";"";"A6920630";"RUISSEAU DE L'ETANG";"FRCR328";"938535";"6839944";"82,2";"kg/j DBO5";"SIA DU VERMOIS";"SIA DU VERMOIS";"18/07/2006";
"025767201458";"19/07/2003";"19/07/2003";"";"THIONVILLE";"THIONVILLE";"57672";"";"A8610060";"MOSELLE 6";"FRCR213";"931273";"6922957";"4320";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"CA PORTES DE FRANCE - THIONVILLE";"02/01/2001";
"025743000922";"14/04/2010";"01/01/1993";"";"MAINVILLERS";"MAINVILLERS";"57430";"";"A9840420";"NIED ALLEMANDE 2";"FRCR460";"959265";"6886044";"36";"kg/j DBO5";"CC DISTRICT URBAIN DE FAULQUEMONT & ENV";"CC DISTRICT URBAIN DE FAULQUEMONT & ENV";"13/08/2009";
"025727400181";"01/01/1974";"01/01/1974";"01/08/2008";"GUERTING";"GUERTING";"57274";"RUISSEAU DE GUERTING";"A960064A";"BISTEN";"FRCR458";"964486";"6904715";"39";"kg/j DBO5";"SIA SUD DE LA BISTEN";"SIA SUD DE LA BISTEN";"";
"028845702350";"01/11/2012";"01/11/2012";"";"SIONNE";"SIONNE";"88457";"";"B1140200";"SAONNELLE 2";"FRB1R491";"895573";"6813475";"6";"kg/j DBO5";"CNE DE SIONNE";"CNE DE SIONNE";"";
"020832700809";"01/01/1973";"01/01/1928";"01/01/2004";"NOUVION SNCF";"NOUVION-SUR-MEUSE";"8327";"LA MEUSE";"B520000B";"MEUSE 7";"FRB1R476";"829427";"6957485";"66";"kg/j DBO5";"CNE DE NOUVION-SUR-MEUSE";"CNE DE NOUVION-SUR-MEUSE";"";
"025402900039";"01/06/1987";"01/06/1987";"";"AUDUN-LE-ROMAN";"AUDUN-LE-ROMAN";"54029";"";"";"CRUSNES 1";"FRB1R701";"909314";"6922629";"144,96";"kg/j DBO5";"LYONNAISE DES EAUX";"CNE DE AUDUN-LE-ROMAN";"23/07/2007";
"028818902499";"30/09/2014";"30/09/2014";"";"FREVILLE";"FREVILLE";"88189";"";"";"MEUSE 2";"FRB1R471";"893885";"6805965";"12";"kg/j DBO5";"CNE DE FREVILLE";"CNE DE FREVILLE";"21/06/2013";
"025406902061";"01/07/2010";"01/07/2010";"";"BEUVILLERS";"BEUVILLERS";"54069";"";"";"CONROY 1";"FRCR395";"912011";"6924254";"36";"kg/j DBO5";"CNE DE BEUVILLERS";"CNE DE BEUVILLERS";"22/09/2009";
"025767401319";"30/04/2013";"01/01/2001";"";"TINCRY";"TINCRY";"57674";"";"";"RUISSEAU DE ST-JEAN (AFFL. SEILLE)";"FRCR362";"949390";"6872481";"26";"kg/j DBO5";"CNE DE TINCRY";"CNE DE TINCRY";"29/06/2012";
"025757902057";"01/11/2011";"01/11/2011";"";"RHODES";"RHODES";"57579";"";"";"LANDBACH";"FRCR424";"987229";"6858685";"81";"kg/j DBO5";"CC DE L'ETANG DU STOCK";"CC DE L'ETANG DU STOCK";"04/02/2010";
"026808201949";"29/09/2009";"29/09/2009";"";"ENSISHEIM";"ENSISHEIM";"68082";"";"A1330030";"ILL 4";"FRCR19";"1024698";"6761826";"1270";"kg/j DBO5";"CNE DE ENSISHEIM";"CNE DE ENSISHEIM";"12/01/2009";
"026700401660";"15/05/2005";"15/05/2005";"";"ALLENWILLER";"ALLENWILLER";"67004";"";"A2810300";"MOSSIG 1";"FRCR145";"1022367";"6848052";"66";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"CC DU PAYS DE MARMOUTIER SOMMERAU";"08/01/2004";
"026736100372";"01/10/1979";"01/10/1979";"26/10/2011";"OLWISHEIM";"OLWISHEIM";"67361";"";"A3510710";"LANDGRABEN";"FRCR197";"1044715";"6853942";"180";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"SIVU DE LA REGION DE BRUMATH";"14/06/2001";
"028846401687";"01/01/1989";"01/01/1989";"";"TENDON STADE";"TENDON";"88464";"";"A4350670";"BARBA";"FRCR232";"973585";"6786509";"3";"kg/j DBO5";"CNE DE TENDON";"CNE DE TENDON";"";
"028830400495";"01/01/1981";"01/01/1981";"30/09/1999";"MIRECOURT";"MIRECOURT";"88304";"LE MADON";"A526010A";"";"";"932334";"6806002";"1422";"kg/j DBO5";"SIVOM AGGLOMERATION MIRECURTIENNE ";"SIVOM AGGLOMERATION MIRECURTIENNE ";"";
"025419202278";"12/11/2012";"12/11/2012";"";"FERRIERES";"FERRIERES";"54192";"";"A5110450";"MOSELLE 4";"FRCR211";"942345";"6832462";"27";"kg/j DBO5";"CNE DE FERRIERES";"CNE DE FERRIERES";"06/09/2010";
"025752402138";"01/01/2012";"01/01/2012";"";"OMMERAY";"OMMERAY";"57524";"";"A7560440";"SEILLE 2";"FRCR333";"971450";"6853532";"9";"kg/j DBO5";"CNE D'OMMERAY";"CNE D'OMMERAY";"";
"025405802363";"01/12/2013";"01/12/2013";"";"BECHAMPS";"BECHAMPS";"54058";"";"A8050720";"ORNE 1";"FRCR380";"899611";"6904301";"8";"kg/j DBO5";"SIE DU SOIRON";"SIE DU SOIRON";"13/04/2012";
"025555101629";"15/03/2005";"15/03/2005";"";"VIGNEULLES-LES-HATTONCHATEL";"VIGNEULLES-LES-HATTONCHATEL";"55551";"";"A8100200";"YRON";"FRCR382";"898563";"6878350";"48";"kg/j DBO5";"CNE DE VIGNEULLES-LES-HATTONCHATEL";"CNE DE VIGNEULLES-LES-HATTONCHATEL";"04/09/2006";
"025702602130";"24/01/2012";"24/01/2012";"";"APACH";"APACH";"57026";"";"A8880060";"MOSELLE 6";"FRCR213";"944333";"6935008";"350";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"SIA SIERCK-LES-BAINS  APACH  RUSTROFF";"";
"025736401964";"01/12/2009";"01/12/2009";"";"KIRSCH-LES-SIERCK";"KIRSCH-LES-SIERCK";"57364";"";"A8870540";"RUISSEAU DE MONTENACH";"FRCR408";"946213";"6931968";"23";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"CNE DE KIRSCH-LES-SIERCK";"03/02/2009";
"025722401662";"01/10/2005";"01/10/2005";"";"FOLSCHVILLER";"FOLSCHVILLER";"57224";"";"A9810200";"NIED ALLEMANDE 1";"FRCR459";"970213";"6890960";"729";"kg/j DBO5";"SIA DES TROIS VALLEES";"SIA DES TROIS VALLEES";"20/12/2011";
"025712101341";"01/12/2001";"01/12/2001";"";"BURTONCOURT";"BURTONCOURT";"57121";"";"A9910410";"NIED REUNIE 1";"FRCR418";"949739";"6908676";"25,92";"kg/j DBO5";"CC DU HAUT CHEMIN";"CC DU HAUT CHEMIN";"";
"025745301927";"01/10/2009";"01/10/2009";"";"MAXSTADT";"MAXSTADT";"57453";"";"A9800400";"NIED ALLEMANDE 1";"FRCR459";"977391";"6890024";"81";"kg/j DBO5";"CC DU CENTRE MOSELLAN";"CC DU CENTRE MOSELLAN";"31/07/2009";
"025775602457";"18/12/2014";"18/12/2014";"";"XOUAXANGE";"XOUAXANGE";"57756";"";"A9020440";"RUISSEAU DE GONDREXANGE";"FRCR421";"994068";"6851881";"22";"kg/j DBO5";"CC DE LA VALLEE DE LA BIEVRE";"CC DE LA VALLEE DE LA BIEVRE";"01/06/2012";
