Numouvep,Nomouvep,Numineco,Coola2ex,Coola2ey,Coola2ez,Codhyd,Libcodhyd,Numnat,Codeurme,Nommasea,Datmises,Datfer,Datautre,Datcnfac,Nomcom,Coddep,Libdep,Codmilsu,Libmilsu,Valcapst,Valcapconstructeur,Unicapst,Codpar,Maitre Ouvrage,Exploitant,Coola2ex Rjet,Coola2ey Rjet,Type Ouvrage,Cap Traitmt Reglmt,Debit Reference,Debit Moy Jour,Debit Horair Pointe,Code Hydro
297,BOUXWILLER ,67061,1030260,6868415,,A3120760,RUISSEAU LE WAPPACHGRABEN,26706100297,FRCR163,WAPPACHGRABEN,1/1/81,,,,BOUXWILLER,67,BAS-RHIN,A3120760,Ruisseau le Wappachgraben,288,288,kg/j DBO5,86,SCM MATHIEU ET PAROLIN,EST INDUSTRIES,1030250,6868448,Boues Activées,,,986,123,
300,DAMBACH NEUNHOFFEN ,67083,1039729,6887513,,A3230220,RUISSEAU LE SCHWARZBACH,26708300300,FRCR169,SCHWARZBACH (AFFL. FALKENSTEINBACH),1/1/86,,,,DAMBACH,67,BAS-RHIN,A32-0220,Le Schwarzbach,36.78,,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1039876,6887648,Lagunage Naturel,,,92,11,
321,GUNDERSHOFFEN ,67176,1041349,6876963,,A3250210,RUISSEAU LE FALKENSTEINBACH,26717600321,FRCR166,ZINSEL DU NORD 3,1/1/75,12/15/15,,,GUNDERSHOFFEN,67,BAS-RHIN,A32-0210,Le Falkensteinbach,294,294,kg/j DBO5,86,,,1041409,6876950,Boues Activées,,,1104,138,
365,NIEDERSCHAEFFOLSHEIM ,67331,1047900,6862468,,A3320620,RUISSEAU L'HELLERGRABEN,26733100365,FRCR173,KESSELGRABEN,1/1/70,9/17/12,,,NIEDERSCHAEFFOLSHEIM,67,BAS-RHIN,A3320620,Ruisseau l'Hellergraben,48,,kg/j DBO5,86,,,1047924,6862450,Boues Activées,,,112,14,
2207,NIEDERSCHAEFFOLSHEIM ,67331,1047979,6861992,,A3320620,RUISSEAU L'HELLERGRABEN,26733102207,FRCR173,KESSELGRABEN,9/18/12,,2/23/11,,NIEDERSCHAEFFOLSHEIM,67,BAS-RHIN,A3320620,Ruisseau l'Hellergraben,135,96,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1047624,6861975,Boues Activées - traitement Azote - traitement Phosphore,1600,960,600,75,
380,ROPPENHEIM ,67409,1071046,6873034,,A3690110,La Sauer,26740900380,FRCR160,SAUER 3,8/7/89,,12/21/04,12/31/05,ROPPENHEIM,67,BAS-RHIN,A3--0110,La Sauer,526.5,540,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1070962,6873212,Boues Activées - traitement Azote - traitement Phosphore,5400,900,1456,182,
476,CHARMES ,88090,943351,6813531,,A4720060,LA MOSELLE,28809000476,FRCR211,MOSELLE 4,6/1/74,3/2/14,1/9/01,,CHARMES,88,VOSGES,A---0060,La Moselle,456,,kg/j DBO5,86,CONSERVATOIRE SPECIALISE DE LA FORGE,LE DRAGON DE L EST,,,Boues Activées,7600,1700,1410,176,
2419,DOMPAIRE ,88151,938988,6798107,,A5240200,RUISSEAU LA GITTE,28815102419,FRCR253,GITTE,4/8/14,,1/7/13,,DOMPAIRE,88,VOSGES,A52-0200,La Gitte,145,103,kg/j DBO5,86,,,938544,6797932,Filtres plantés de Roseaux,1800,982,405,40.7,
3598,RONCOURT ,88227,904735,6796340,,,Ruisseau de Roncourt,28822703598,,,1/1/21,,1/1/21,,HAGNEVILLE-ET-RONCOURT,88,VOSGES,,,,2,kg/j DBO5,86,SARL HOUSE FAMILY,SARL HOUSE FAMILY,904780,6796343,Autres,25,6,6,1,
1983,MORVILLE ,88316,907583,6796485,,B1070640,RUISSEAU DE VAUDONCOURT,28831601983,FRB1R487,ANGER,6/10/09,,3/1/21,,MORVILLE,88,VOSGES,B1070640,Ruisseau de Vaudoncourt,2,2,kg/j DBO5,86,CUNY JACKY,CUNY JACKY,907648,6796483,Bassin d'Infiltration,175,81,8.8,1.1,
1736,SAINT-OUEN-LES-PAREY ,88430,906076,6791274,,B1060210,L'ANGER,28843001736,FRB1R487,ANGER,10/1/06,,9/9/05,,SAINT-OUEN-LES-PAREY,88,VOSGES,B10-0210,L'Anger,48.6,45,kg/j DBO5,86,AGRAM CYRIL,AGRAM CYRIL,906079,6791255,Filtres plantés de Roseaux,810,,162,13.5,
2406,VELOTTE-ET-TATIGNECOURT ,88499,935351,6800685,,A5250200,RUISSEAU LA GITTE,28849902406,FRCR248,MADON 3,4/1/14,,1/7/13,,VELOTTE-ET-TATIGNECOURT,88,VOSGES,A52-0200,La Gitte,9,7,kg/j DBO5,86,,,935275,6800544,Filtres plantés de Roseaux,120,53,29,2.5,
2528,VILLE-SUR-ILLON ,88508,937532,6791966,,A5220300,RUISSEAU DE L'ILLON,28850802528,FRCR254,RUISSEAU DE L'ILLON,11/1/15,,1/7/13,,VILLE-SUR-ILLON,88,VOSGES,A5220300,Ruisseau de l'Illon,38,45,kg/j DBO5,86,,,937456,6792076,Filtres plantés de Roseaux,514,264,113,11,
143,COUME ,57154,959671,6905500,,A9900660,Fossé puis Kaltbach,25715400143,FRCR462,ELLBACH,1/1/70,8/20/12,,,COUME,57,MOSELLE,A9900660,Ruisseau l'Ellbach,27,27,kg/j DBO5,86,,,959671,6905477,Boues Activées,,,58,7,
1980,FAREBERSVILLER ,57207,981638,6898007,,A9520310,RUISSEAU DE COCHEREN,25720701980,FRCR457,ROSSELLE 3,4/20/10,,11/16/07,,FAREBERSVILLER,57,MOSELLE,A9520310,Ruisseau de Cocheren,1068,800,kg/j DBO5,86,,,981380,6898309,SBR,15000,7875,5900,245,
2344,CHEMERY-LES-FAULQUEMONT ,57209,961775,6884355,,A9830490,RUISSEAU BAERENBACH,25720902344,FRCR459,NIED ALLEMANDE 1,11/1/13,,5/14/12,,FAULQUEMONT,57,MOSELLE,A9830490,Ruisseau Baerenbach,16,10,kg/j DBO5,86,SARL SELESTAT DEPANNAGE,SARL SELESTAT DEPANNAGE,961700,6884310,Filtres plantés de Roseaux,169,65,4.5,54,
