Année;code_STEP;Nom_STEP;Capacité_EH;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau_2010;Nom_Masse_Eau_2010;Code_Masse_Eau_2016;Nom_Masse_Eau_2016
2015;060930116002;Fournes                       ;1000;Biologique avec nitrification;827873;6314426;827848;6314420;1;30116;FOURNES;30;76;;;;;
2015;060930117002;Fourques                      ;3500;Biologique avec nitrification;828822;6290037;828760;6290086;1;30117;FOURQUES;30;76;;;;;
2015;060930122002;Gajan                         ;3500;Biologique avec nitrification et dénitrification;797905;6312693;797937;6312352;1;30122;GAJAN;30;76;;;;;
2015;060930122002;Gajan                         ;3500;Biologique avec nitrification et dénitrification;797905;6312693;797937;6312352;1;30122;GAJAN;30;76;;;;;
2015;060930122002;Gajan                         ;3500;Biologique avec nitrification et dénitrification;797905;6312693;797937;6312352;1;30122;GAJAN;30;76;;;;;
2015;060930122002;Gajan                         ;3500;Biologique avec nitrification et dénitrification;797905;6312693;797937;6312352;1;30122;GAJAN;30;76;;;;;
2015;060930123002;Gallargues Le Montueux        ;5000;Biologique avec nitrification et dénitrification;794278;6290923;794237;6290901;1;30123;GALLARGUES LE MONTUEUX;30;76;;;;;
2015;060930124001;Le Garn;250;Filtres plantés;817842;6357112;817934;6357115;2;30124;LE GARN;30;76;;;;;
2015;060930125002;Garons                        ;7000;Biol. avec nitrif., dénitrif. et déphosphatation;816384;6295897;816374;6295812;1;30125;GARONS;30;76;;;;;
2015;060930126001;Garrigues Sainte Eulalie;500;Biologique avec nitrification;804786;6321306;804763;6321303;2;30126;GARRIGUES STE EULALIE;30;76;;;;;
2015;060930129003;Generargues                   ;450;Biologique avec nitrification;778608;6331219;778681;6331198;1;30129;GENERARGUES;30;76;;;;;
2015;060930129004;Generargues- Blateiras;220;Décantation primaire ou fosse toutes eaux;780327;6332263;780436;6331760;2;30129;GENERARGUES;30;76;;;;;
2015;060930130002;Genolhac;1800;Biologique avec nitrification et dénitrification;777950;6359320;777965;6359315;1;30130;GENOLHAC;30;76;;;;;
2015;060930131004;Goudargues;3000;Biologique avec nitrification et déphosphatation;817059;6346442;817049;6346412;1;30131;GOUDARGUES;30;76;;;;;
2015;060930132001;La Grand Combe - Haut Gardon;15000;Biologique avec nitrification et dénitrification;783628;6343804;783699;6343800;1;30132;LA GRAND COMBE;30;76;;;;;
2015;060930132001;La Grand Combe - Haut Gardon;15000;Biologique avec nitrification et dénitrification;783628;6343804;783699;6343800;1;30132;LA GRAND COMBE;30;76;;;;;
2015;060930132001;La Grand Combe - Haut Gardon;15000;Biologique avec nitrification et dénitrification;783628;6343804;783699;6343800;1;30132;LA GRAND COMBE;30;76;;;;;
2015;060930132001;La Grand Combe - Haut Gardon;15000;Biologique avec nitrification et dénitrification;783628;6343804;783699;6343800;1;30132;LA GRAND COMBE;30;76;;;;;
2015;060930133002;Le Grau Du Roi;100000;Biol. avec nitrif., dénitrif. et déphosphatation;793107;6268487;793180;6268446;1;30133;LE GRAU DU ROI;30;76;;;;;
2015;060930133002;Le Grau Du Roi;100000;Biol. avec nitrif., dénitrif. et déphosphatation;793107;6268487;793180;6268446;1;30133;LE GRAU DU ROI;30;76;;;;;
2015;060930135001;Jonquieres Saint Vincent;3500;Biologique avec nitrification et dénitrification;826295;6304045;826335;6304003;1;30135;JONQUIERES ST VINCENT;30;76;;;;;
2015;060930136001;Junas  -  Chef-Lieu           ;800;Biologique avec nitrification;790106;6296712;790124;6296767;2;30136;JUNAS;30;76;;;;;
2015;060930140001;Lasalle;3000;Biologique avec nitrification et dénitrification;769293;6327181;769323;6327173;2;30140;LASALLE;30;76;;;;;
