Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;libelle_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau;Nom_Masse_Eau
2008;060907240002;STATION D'EPURATION DE ST GEORGES LES BAINS;6000;Biologique avec nitrification;843766;6417828;843719;6417671;1;Précision +- 50 mètres;07240;ST GEORGES LES BAINS;07;RHONE-ALPES;FRDR11562;ruisseau le turzon
2008;060974175001;STATION D'EPURATION DE MEILLERIE;400;Biologique avec nitrification;985214;6596453;985212;6596470;1;Précision +- 50 mètres;74175;MEILLERIE;74;RHONE-ALPES;FRDR2000;Le Rhône de la frontière suisse au barrage de Seyssel
2008;060939313002;STATION D'EPURATION DE MARIGNY - DOMAINE DE CHALAIN;4000;Biologique avec nitrification et déphosphatation;912365;6623700;912282;6623736;1;Précision +- 50 mètres;39313;MARIGNY;39;FRANCHE-COMTE;FRDR503;L'Ain de l'Angillon jusqu'à la retenue de Blye
2008;060939492001;STATION D'EPURATION DE ST-MAUR;150;Biologique Simple;897797;6615991;897797;6615991;1;Précision +- 50 mètres;39492;ST MAUR;39;FRANCHE-COMTE;FRDR11548;rivière la sorne
2008;060925034002;STATION D'EPURATION DE AUXON - MISEREY;5500;Biologique avec nitrification;921743;6693095;922103;6693292;1;Précision +- 50 mètres;25034;AUXON DESSOUS;25;FRANCHE-COMTE;FRDR11160;ruisseau d'auxon
2008;060934204002;STATION D'EPURATION DE PLAISSAN;1700;Filtres plantés;742477;6272796;742451;6272799;2;Précision +- 500 mètres;34204;PLAISSAN;34;LANGUEDOC-ROUSSILLON;FRDR10730;ruisseau le dardaillon
2008;060934245002;STATION D'EPURATION DE ST CHINIAN - CASTELBOUZE;60;Biologique Simple;693955;6256637;693984;6256643;2;Précision +- 500 mètres;34245;ST CHINIAN;34;LANGUEDOC-ROUSSILLON;FRDR153;Le Vernazobre
2008;060930203002;STATION D EPURATION DE PORTES       L'AFFENADOU;350;Biologique Simple;784117;6350200;784117;6350201;2;Précision +- 500 mètres;30203;PORTES;30;LANGUEDOC-ROUSSILLON;FRDR397;L'Auzonnet
2008;060911315002;STATION D'EPURATION DE RIEUX MINERVOIS;3200;Biologique avec nitrification;667770;6242816;667808;6242871;1;Précision +- 50 mètres;11315;RIEUX MINERVOIS;11;LANGUEDOC-ROUSSILLON;FRDR184;l'Argent-Double
2008;060942064002;STATION D'EPURATION DE CHUYER - METRIEUX;90;Lagunage;833855;6485521;833879;6485538;1;Précision +- 50 mètres;42064;CHUYER;42;RHONE-ALPES;FRDR10475;ruisseau le verin
2008;060906038002;STATION D'EPURATION DE CHATEAUNEUF DE GRASSE;2500;Biologique avec nitrification;1019814;6294151;1019555;6293595;1;Précision +- 50 mètres;06038;CHATEAUNEUF GRASSE;06;PROVENCE-ALPES-COTE D'AZUR;FRDR94;La Brague
