code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
028814801924,DOMMARTIN-LES-REMIREMONT,7500,5.818087666666665,134,85.7,16.1,Rhin-Meuse
026803601697,BIESHEIM,7493,5.825580666666665,135,85.8,16.3,Rhin-Meuse
026820102146,MASEVAUX,7333.333333333334,5.832913999999998,136,85.9,16.4,Rhin-Meuse
025741301943,LONGEVILLE-LES-ST-AVOLD,7250,5.840163999999998,137,86.1,16.5,Rhin-Meuse
026733902359,BETSCHDORF,7166.666666666667,5.847330666666665,138,86.2,16.6,Rhin-Meuse
026725401212,KUTZENHAUSEN,7155,5.854485666666665,139,86.3,16.7,Rhin-Meuse
026730101266,MOMMENHEIM,7133.000000000001,5.861618666666665,140,86.4,16.9,Rhin-Meuse
026747200394,SOUFFLENHEIM,7000,5.8686186666666655,141,86.5,17,Rhin-Meuse
028832700497,NOMEXY,6975,5.875593666666665,142,86.6,17.1,Rhin-Meuse
025415702142,DIEULOUARD,6900,5.882493666666665,143,86.7,17.2,Rhin-Meuse
025720901143,FAULQUEMONT AMONT,6800,5.889293666666665,144,86.8,17.3,Rhin-Meuse
025432201624,LONGUYON,6795,5.896088666666665,145,86.9,17.5,Rhin-Meuse
026835200465,VOLGELSHEIM,6750,5.902838666666665,146,87,17.6,Rhin-Meuse
028844500506,SAULCY-SUR-MEURTHE,6750,5.909588666666665,147,87.1,17.7,Rhin-Meuse
025430502141,LAY-SAINT-CHRISTOPHE,6666.666666666667,5.916255333333332,148,87.2,17.8,Rhin-Meuse
026728300347,MARMOUTIER,6650,5.922905333333332,149,87.3,18,Rhin-Meuse
026739701487,RHINAU,6579,5.929484333333332,150,87.4,18.1,Rhin-Meuse
026738800376,REICHSHOFFEN,6500,5.935984333333332,151,87.5,18.2,Rhin-Meuse
026811500431,GUEWENHEIM,6500,5.942484333333332,152,87.6,18.3,Rhin-Meuse
025735501343,KALHAUSEN,6390,5.9488743333333325,153,87.7,18.4,Rhin-Meuse
028808602188,CHAMP-LE-DUC,6333.333333333334,5.955207666666665,154,87.7,18.6,Rhin-Meuse
025550200110,STENAY,6300,5.961507666666665,155,87.8,18.7,Rhin-Meuse
025733801815,HOTTVILLER,6300,5.9678076666666655,156,87.9,18.8,Rhin-Meuse
025748301342,MORHANGE,6300,5.974107666666665,157,88,18.9,Rhin-Meuse
026749501123,TRUCHTERSHEIM,6125,5.980232666666665,158,88.1,19,Rhin-Meuse
026825802360,PULVERSHEIM,6083.333333333334,5.986315999999998,159,88.2,19.2,Rhin-Meuse
025702602130,APACH,5833.333333333334,5.992149333333331,160,88.3,19.3,Rhin-Meuse
026752800407,WEYER,5833.000000000001,5.997982333333331,161,88.4,19.4,Rhin-Meuse
025409000047,BOUXIERES-AUX-DAMES,5800,6.003782333333331,162,88.5,19.5,Rhin-Meuse
026753500409,WIMMENAU,5750,6.009532333333331,163,88.5,19.6,Rhin-Meuse
020848600758,VIREUX-MOLHAIN,5670,6.015202333333331,164,88.6,19.8,Rhin-Meuse
025406002228,BELLEVILLE-MARBACHE,5666.666666666667,6.0208689999999985,165,88.7,19.9,Rhin-Meuse
026820501325,MEYENHEIM,5580,6.026448999999998,166,88.8,20,Rhin-Meuse
026720600331,HOFFEN,5500,6.031948999999998,167,88.9,20.1,Rhin-Meuse
026726100340,LAUTERBOURG,5500,6.037448999999998,168,89,20.2,Rhin-Meuse
026802800418,BERGHEIM,5500,6.042948999999998,169,89,20.4,Rhin-Meuse
026808800429,FELDKIRCH,5500,6.048448999999998,170,89.1,20.5,Rhin-Meuse
025755602051,PUTTELANGE-AUX-LACS,5416.666666666667,6.053865666666665,171,89.2,20.6,Rhin-Meuse
025754001526,PHALSBOURG SUD,5400,6.059265666666665,172,89.3,20.7,Rhin-Meuse
026837801946,WOLFERSDORF,5350,6.064615666666665,173,89.4,20.8,Rhin-Meuse
025720500158,FALCK DALEM,5333.000000000001,6.069948666666665,174,89.4,21,Rhin-Meuse
026736102097,OLWISHEIM,5200,6.075148666666665,175,89.5,21.1,Rhin-Meuse
025717701596,DIEUZE,5107,6.080255666666665,176,89.6,21.2,Rhin-Meuse
025729901597,HARTZVILLER,5040,6.085295666666665,177,89.7,21.3,Rhin-Meuse
025754701244,POMMERIEUX,5033.000000000001,6.090328666666665,178,89.7,21.4,Rhin-Meuse
025518100099,ETAIN,5000,6.095328666666665,179,89.8,21.6,Rhin-Meuse
025771401481,HAUTE-VIGNEULLES,5000,6.100328666666665,180,89.9,21.7,Rhin-Meuse
028848300512,UXEGNEY,5000,6.105328666666665,181,90,21.8,Rhin-Meuse
025500901707,ANCEMONT,4950,6.110278666666665,182,90,21.9,Rhin-Meuse
025441501738,PAGNY-SUR-MOSELLE,4850,6.115128666666665,183,90.1,22,Rhin-Meuse
026706100297,BOUXWILLER,4800,6.119928666666665,184,90.2,22.2,Rhin-Meuse
026802001798,BANTZENHEIM,4725,6.124653666666665,185,90.2,22.3,Rhin-Meuse
020831101595,MOUZON,4716.666666666667,6.129370333333332,186,90.3,22.4,Rhin-Meuse
025763300259,SARREINSMING,4600,6.133970333333332,187,90.4,22.5,Rhin-Meuse
025756101598,MONTBRONN,4455,6.138425333333332,188,90.4,22.7,Rhin-Meuse
026732700363,NIEDERLAUTERBACH,4400,6.142825333333332,189,90.5,22.8,Rhin-Meuse
026718000322,MARIENTHAL,4350,6.147175333333332,190,90.6,22.9,Rhin-Meuse
025732201951,HESTROFF,4333.333333333334,6.151508666666665,191,90.6,23,Rhin-Meuse
026825301102,OTTMARSHEIM,4283.333333333334,6.155791999999998,192,90.7,23.1,Rhin-Meuse
026722101529,INGOLSHEIM,4212,6.160003999999998,193,90.8,23.3,Rhin-Meuse
025400700036,AINGERAY,4200,6.164203999999998,194,90.8,23.4,Rhin-Meuse
025712401448,CATTENOM,4200,6.168403999999998,195,90.9,23.5,Rhin-Meuse
025775200288,WOUSTVILLER,4200,6.172603999999998,196,91,23.6,Rhin-Meuse
025423400061,GORCY,4166.666666666667,6.176770666666665,197,91,23.7,Rhin-Meuse
025769702151,VASPERVILLER,4166.666666666667,6.180937333333332,198,91.1,23.9,Rhin-Meuse
020830201509,MONTHERME,4150,6.185087333333332,199,91.1,24,Rhin-Meuse
025711702120,BUDING,4042,6.189129333333332,200,91.2,24.1,Rhin-Meuse
025553302175,VAUCOULEURS,4033.3333333333335,6.193162666666665,201,91.3,24.2,Rhin-Meuse
025760600265,SAINT-AVOLD JEANNE D'ARC,4000,6.1971626666666655,202,91.3,24.3,Rhin-Meuse
026734700369,OBERMODERN,4000,6.201162666666665,203,91.4,24.5,Rhin-Meuse
026745302098,SCHOENAU,4000,6.2051626666666655,204,91.4,24.6,Rhin-Meuse
028809502044,CHATENOIS,4000,6.209162666666665,205,91.5,24.7,Rhin-Meuse
025431401901,LEXY,4000,6.2131626666666655,206,91.5,24.8,Rhin-Meuse
025535102144,MONTMEDY,3916.666666666667,6.2170793333333325,207,91.6,24.9,Rhin-Meuse
025715501716,COURCELLES-CHAUSSY,3900,6.220979333333332,208,91.7,25.1,Rhin-Meuse
