identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite_admise;quantite_traitee;unite
0005601646;VALTOM;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);12.000;12.000;t/an
0007201226;GrandAngoulême;Traitement de déchets non dangereux;2008;D10;D10 Incinération à terre;;;8;Ordures ménagères;125472.200;125600.000;t/an
0006401013;SOLAMAT MEREX;Traitement de déchets non dangereux;2008;D10;D10 Incinération à terre;;;10;Dechets provenant de procedes thermiques :;468.804;468.860;t/an
0006300908;LAFARGEHOLCIM CIMENTS (usine cimenterie);Traitement de déchets non dangereux;2008;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);156260.000;156400.000;t/an
0005500224;KERVAL Centre Armor;Traitement de déchets non dangereux;2008;D10;D10 Incinération à terre;;;8;Ordures ménagères;145620.000;162000.000;t/an
0007202575;C.C. VAL VERT DU CLAIN - CET DE ST GEORGES LES BAILLARGEAUX;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;8;Ordures ménagères;64592.000;64600.000;t/an
0006700423;MARS Chocolat Steinbourg;Traitement de déchets non dangereux;2008;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);32.800;32.800;t/an
0006401567;LAFARGEHOLCIM CIMENTS;Traitement de déchets non dangereux;2008;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;;;13;Huiles et combustibles liquides usagés (sauf huiles alimentaires et huiles figurant aux chapitres 05, 12 et 19) :;629.000;628.000;t/an
0006400578;SUEZ RV MEDITERRANEE JDR (ex. SITA SUD);Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;8;Ordures ménagères;211091.320;211200.000;t/an
0007002427;VESUVIUS;Traitement de déchets non dangereux;2008;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;2;Boues d'effluents industriels;424.000;424.000;t/an
0010008113;INOVA Opérations;Traitement de déchets non dangereux;2008;D15;D15 Stockage préalablement à l'une des opérations numérotées D 1 à D 14 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);;;11;Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :;1028.000;1028.000;t/an
0006601920;SUEZ ORGANIQUE (ex TERRALYS );Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;2;Boues d'effluents industriels;24032.000;24040.000;t/an
0006200828;SUEZ RR IWS Minerals France (ex SITA FD;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;12;Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :;32.240;32.240;t/an
0006207645;CETV;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;2;Boues d'effluents industriels;9293.760;9280.000;t/an
0006803963;SA COVED;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;11;Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :;65772.000;65600.000;t/an
0006302271;BRANGEON Recyclage;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;4;Déchets de bois;10972.000;10960.000;t/an
0005800492;CITRON SA;Traitement de déchets non dangereux;2008;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;;;11;Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :;1746.024;1591.200;t/an
0005100917;SOLABIA;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);1383.200;1384.000;t/an
0006506767;REP;Traitement de déchets non dangereux;2008;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;;;14;Déchets de solvants organiques, d'agents réfrigérants et propulseurs (sauf chapitres 07 et 08) :;17316.000;9280.000;t/an
0005401765;SONIRVAL - VALEST;Traitement de déchets non dangereux;2008;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;11;Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :;3116.000;3116.000;t/an
