identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0005801222;LES ATELIERS DU GOUT;2008;0;0;75200;0
00       76276001;BIGARD SA;2008;0;0;50000;0
0006802169;ANDROS Snc - Usine BOIN;2008;141000;0;35200;0
0007000832;MAUBEUGE CONSTRUCTION AUTOMOBILE (MCA);2008;0;0;231000;0
0006400825;ARKEMA france;2008;4120000;2250000;0;0
0005501252;DAREGAL;2008;0;0;60200;0
0005501948;SAS STANVEN;2008;291000;0;0;0
0005800413;REVIMA;2008;0;101000;25300;0
0006506525;AIR FRANCE INDUSTRIES;2008;0;0;63400;0
0005801578;NIPRO PHARMAPACKAGING FRANCE;2008;50100;0;98;0
0005302849;LACTALIS NESTLE ULTRA FRAIS MARQUES;2008;412000;0;0;0
0006802992;TRIMET FRANCE;2008;0;174000;2050;0
0006700404;ROQUETTE FRERES;2008;5650000;20100000;0;0
00       74224461;FRUITE SAS Site ii;2008;70600;0;12800;0
0070001689;RLST;2008;96400;0;2800;0
0006600638;MAJ - ELIS PROVENCE;2008;96400;0;10300;0
0006803107;Boehringer Ingelheim (ex MERIAL);2008;64300;0;10900;0
0010005083;SKF FRANCE;2008;84000;0;3230;0
0005800375;ASHLAND SPECIALTIES France;2008;742000;0;0;0
0005101699;LACTINOV  (ex-SFPL);2008;0;0;321000;0
0005702109;SOTRATEX SAS;2008;117000;0;0;0
0005401208;PRYSMIAN;2008;247000;0;9550;0
0022100044;CENTRALE DE JARRY-NORD;2008;0;0;62200;0
0007002729;BARDUSCH - TBN FontaineND;2008;148000;0;0;0
0076915201;STEP - Lyon - Pierre Bénite;2008;416000;0;0;0
0007403867;COFELY Département Industrie Centre de production de Romainville SANOFI-AVENTIS;2008;68900;0;0;0
0022200013;DISTILLERIE DILLON S.A.S;2008;0;1060000;5550;0
0007201529;LAFARGE CIMENTS;2008;170000;5420;5060;0
0005500903;VOLAILLES DE L'ODET;2008;0;0;96800;0
0005101169;JSP INTERNATIONAL  SARL;2008;0;0;65900;0
0006201330;SMART FRANCE SAS;2008;0;0;110000;0
0076830059;STEP - MULHOUSE;2008;481000;0;1570;0
0005702205;ELIVIA ETABLISSEMENT VITRY-LE-FRANCOIS;2008;0;0;50100;0
0006700668;BLUE PAPER;2008;0;10900000;13400;0
0006803219;SCMC Sarl;2008;0;55600;0;0
0005600023;ERASTEEL SAS;2008;0;0;222000;0
0006102911;CATERPILLAR FRANCE - site d'Echirolles;2008;31600;0;53600;0
0006802944;ARIANEGROUP (ex HERAKLES);2008;0;4080000;0;0
0006400651;ARKEMA FRANCE SA;2008;1640000;0;18600;0
0005102036;LAINIERE DE PICARDIE BC SAS;2008;459000;0;6280;0
0006103731;RHODIA OPERATIONS;2008;19900000;0;58400;0
0016300261;Hôpital Gabriel Montpied;2008;0;0;128000;0
0005102295;ALUMINIUM FRANCE EXTRUSION (EX CONSTEL);2008;89100;0;9720;0
0005204095;CEMEX GRANULATS SUD OUEST;2008;0;534000;0;0
0005800355;ARKEMA;2008;0;563000;48000;0
0006802450;SEAM;2008;64600;0;86;0
0005500166;GELAGRI BRETAGNE;2008;0;0;436000;0
0005102581;ROQUETTE  FRERES;2008;1810000;5380000;7170;0
0010400395;LYNRED;2008;234000;0;6350;0
0010700012;ROUTIN 1883;2008;0;0;97300;0
00       87085003;MADRANGE CHARCUTERIE DE LA VALOINE;2008;25300;0;107000;0
0006302797;DIANA FOOD SAS (DIANA NATURALS);2008;0;0;180000;0
0005900890;SOCIETE FROMAGERE DE LONS LE SAUNIER;2008;0;0;107000;0
0007000673;ASCOMETAL LES DUNES;2008;183000;2980000;120000;0
0006203630;GSM;2008;303000;0;0;0
