identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0009055101;Naval Group Brest;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;16 01 07*;Filtres à huile;0.453;t/an
0005800441;Chapelle Darblay;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;13 07 01*;Fioul et gazole;1;t/an
0006201330;SMART FRANCE SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;08 04 09*;Déchets de colles et mastics contenant des solvants organiques ou d'autres substances dangereuses;6.09;t/an
0005200259;YARA FRANCE;Production de déchets dangereux;2004;I  ;I Incinération;;;12 01 09*;émulsions et solutions d'usinage sans halogènes;1.7;t/an
0010003832;LA CALHENE;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;20 01 33*;Piles et accumulateurs visés aux rubriques 16 06 01, 16 06 02 ou 16 06 03 et piles et accumulateurs non triés contenant ces piles;0.014;t/an
0006500055;Corning SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;06 01 02*;Acide chlorhydrique;0.16;t/an
0005100918;SPONTEX;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;20 01 21*;Tubes fluorescents et autres déchets contenant du mercure;0.107;t/an
0006501929;SILEC CABLE;Production de déchets dangereux;2004;T  ;T Autre traitement;;;12 01 14*;Boues d'usinage contenant des substances dangereuses;75.2;t/an
0009000005;DGA Essais propulseurs;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;13 02 08*;Autres huiles moteur, de boîte de vitesses et de lubrification.;3.96;t/an
0006802394;LATECOERE AVIATION;Production de déchets dangereux;2004;I  ;I Incinération;;;06 13 02*;Charbon actif usé (sauf rubrique 06 07 02);0.282;t/an
0006400776;PROTEC METAUX ARENC;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;15 01 10*;Emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus;10.5;t/an
0006802394;LATECOERE AVIATION;Production de déchets dangereux;2004;C  ;C Co-incinération;;;14 06 03*;Autres solvants et mélanges de solvants;5.6;t/an
0005301827;CARGILL FRANCE SAS - site de Baupte;Production de déchets dangereux;2004;T  ;T Autre traitement;;;13 05 07*;Eau mélangée à des hydrocarbures provenant de séparateurs eau/hydrocarbures;1;t/an
0007000699;Communauté d'Agglomération ARTOIS COMM;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;19 01 07*;Déchets secs de l'épuration des fumées;1360;t/an
0005600245;FAREVA LA VALLEE;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;06 02 04*;Hydroxyde de sodium et hydroxyde de potassium;0.3;t/an
0005200110;CORENSO France SA;Production de déchets dangereux;2004;T  ;T Autre traitement;;;14 06 03*;Autres solvants et mélanges de solvants;0.133;t/an
0007201406;HUTCHINSON SNC;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;08 01 13*;Boues provenant de peintures ou vernis contenant des solvants organiques ou autres substances dangereuses;37.1;t/an
0009000009;AIRBUS FRANCE Etablissement de Saint-Nazaire;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;11 02 07*;Autres déchets contenant des substances dangereuses;0.96;t/an
0005800466;BS COATINGS;Production de déchets dangereux;2004;I  ;I Incinération;;;08 04 09*;Déchets de colles et mastics contenant des solvants organiques ou d'autres substances dangereuses;137;t/an
0005600372;CONSTELLIUM ISSOIRE;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;07 07 10*;Autres gâteaux de filtration et absorbants usés;69.3;t/an
0006301184;ACI Usine du Mans;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;08 04 09*;Déchets de colles et mastics contenant des solvants organiques ou d'autres substances dangereuses;3.74;t/an
0010001240;JOHN DEERE;Production de déchets dangereux;2004;I  ;I Incinération;;;08 01 13*;Boues provenant de peintures ou vernis contenant des solvants organiques ou autres substances dangereuses;50;t/an
0006702131;DS SMITH Packaging Nord EST;Production de déchets dangereux;2004;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;0.32;t/an
