Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2007;060901087001;CHARIX;380;Biologique Simple;45,687;4,113;2,605;,183;,685;,009;,002;,011;6,761676;,20565;,2605;,1098;,411;,0036;,0008;,0033;01087;CHARIX;01;RHONE-ALPES;V101
2007;060901088001;CHARNOZ SUR AIN;1200;Biol. / Nitrif.;228,768;20,595;13,044;,915;3,433;,046;,011;,053;155,56224;12,357;9,1308;,8235;2,4031;,046;,011;,053;01088;CHARNOZ SUR AIN;01;RHONE-ALPES;V294
2007;060901089002;AMBERIEU - CHATEAU GAILLARD;33300;Biol. / Nitrif. / Dénitrif.;11631,879;884;744;22;183;0;0;0;697,91274;44,2;37,2;5,5;9,15;0;0;0;01089;CHATEAU GAILLARD;01;RHONE-ALPES;V293
2007;060901090001;CHATENAY;225;Lagune;20,994;1,89;1,197;,084;,315;,004;,001;,005;7,620822;,567;,3591;,0672;,252;,0028;,0007;,0025;01090;CHATENAY;01;RHONE-ALPES;U421
2007;060901091002;CHATILLON EN MICHAILLE;2250;Biol. / Nitrif. / Dénitrif.;592,069;53,302;33,758;2,369;8,884;,118;,03;,136;65,12759;2,6651;3,3758;1,4214;,8884;,0472;,012;,0408;01091;CHATILLON EN MICHAILLE;01;RHONE-ALPES;V101
2007;060901092001;CHATILLON LA PALUD (ANCIENNE);1200;Biol. / Nitrif.;475,86;42,841;27,132;1,904;7,14;,095;,024;,109;158,46138;12,8523;8,1396;1,5232;2,856;,0665;,0168;,0545;01092;CHATILLON LA PALUD;01;RHONE-ALPES;V290
2007;060901093001;CHATILLON SUR CHALARONNE;5400;Biol. / Nitrif.;3987,457;744;149;0;0;0;0;0;602,106007;29,76;25,33;0;0;0;0;0;01093;CHATILLON SUR CHALARONNE;01;RHONE-ALPES;U440
2007;060901093002;CHATILLON/CHALARONNE -GROSJEAN;150;Lagune;89,644;8,07;5,111;,359;1,345;,018;,004;,021;13,267312;,4035;,5111;,2154;,807;,0072;,0016;,0063;01093;CHATILLON SUR CHALARONNE;01;RHONE-ALPES;U440
2007;060901094001;CHAVANNES/REYSSOUZE -CHEF LIEU;450;Lagune;23,373;2,104;1,332;,094;,351;,005;,001;,005;5,445909;,2104;,2664;,0658;,2457;,0025;,0005;,002;01094;CHAVANNES SUR REYSSOUZE;01;RHONE-ALPES;U405
2007;060901094002;CHAVANNES/REYSSOUZE - FLECHERE;250;Lagune;16,817;1,515;,959;,067;,252;,003;,001;,004;3,918361;,1515;,1918;,0469;,1764;,0015;,0005;,0016;01094;CHAVANNES SUR REYSSOUZE;01;RHONE-ALPES;U405
2007;060901095002;CHAVANNES SUR SURAN;500;Biologique Simple;75,211;6,771;4,288;,301;1,129;,015;,004;,017;17,524163;,6771;,8576;,2107;,7903;,0075;,002;,0068;01095;CHAVANNES SUR SURAN;01;RHONE-ALPES;V281
2007;060901096002;CHAVEYRIAT -BOULETS LES GASSES;190;Lagune;70,468;6,344;4,018;,282;1,057;,014;,004;,016;25,579884;1,9032;1,2054;,2256;,8456;,0098;,0028;,008;01096;CHAVEYRIAT;01;RHONE-ALPES;U422
2007;060901096003;CHAVEYRIAT - BOULETS TOURNON;150;Filtres plantés;46,787;4,212;2,668;,187;,702;,009;,002;,011;9,029891;,4212;,5336;,12342;,1404;,009;,002;,011;01096;CHAVEYRIAT;01;RHONE-ALPES;U422
2007;060901098003;CHAZEY BONS - CRESSIEU (ANC.);100;Bassin de décantation;20,994;1,89;1,197;,084;,315;,004;,001;,005;19,10454;1,323;1,197;,084;,315;,004;,001;,005;01098;CHAZEY BONS;01;RHONE-ALPES;V146
2007;060901098005;CHAZEY BONS - CHEF LIEU;1200;Biol. / Nitrif.;167,949;15,12;9,576;,672;2,52;,034;,008;,039;18,47439;,756;,9576;,4032;,252;,0136;,0032;,0117;01098;CHAZEY BONS;01;RHONE-ALPES;V146
2007;060901099001;CHAZEY SUR AIN - CHEF LIEU;945;Biol. / Nitrif.;480,885;43,293;27,419;1,924;7,215;,096;,024;,111;160,134705;12,9879;8,2257;1,5392;2,886;,0672;,0168;,0555;01099;CHAZEY SUR AIN;01;RHONE-ALPES;V294
