type_rj;code_rj;libelle;insee_commune;nom_commune;x_rj;y_rj;milieu_recepteur;derniere_annee;code_step;nom_step;nature_reseau;capacite;traitement_principal;debit_nominal_tps_sec;debit_nominal_tps_pluie;charge_nominale_dbo5;charge_nominale_dco;charge_nominale_mes;insee_commune_step;nom_commune_step;code_mo;siret_mo;nom_mo;x_step;y_step
RJ;0511371V0031;SALLES SUR L'HERS (COMMUNALE);11371;Salles-sur-l'Hers;600874.0;6245220.0;R;;0511371V003;SALLES SUR L'HERS (COMMUNALE);;700.0;Secondaire bio (Ntk);105.0;;;;;11371;Salles-sur-l'Hers;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;600858.0;6245080.0
RJ;0511380V0011;SONNAC SUR L'HERS (Village);11380;Sonnac-sur-l'Hers;617594.0;6212580.0;R;;0511380V001;SONNAC SUR L'HERS (Village);;70.0;Secondaire bio (Ntk);11.0;;;;;11380;Sonnac-sur-l'Hers;11380000A;21110380900011;COMMUNE DE SONNAC SUR L'HERS ;617696.0;6212580.0
RJ;0511380V0021;SONNAC SUR L'HERS (Hameau);11380;Sonnac-sur-l'Hers;617020.0;6213040.0;R;;0511380V002;SONNAC SUR L'HERS (Hameau);;70.0;Secondaire bio (Ntk);11.0;;;;;11380;Sonnac-sur-l'Hers;11380000A;21110380900011;COMMUNE DE SONNAC SUR L'HERS ;617057.0;6213040.0
RJ;0511400V0021;TREZIERS;11400;Tréziers;615543.0;6217870.0;R;;0511400V002;TREZIERS;Séparatif;150.0;Secondaire bio (Ntk);22.5;;;;;11400;Tréziers;11400000A;21110400500015;COMMUNE DE TREZIERS ;615536.0;6217850.0
RJ;0511033V0011;BELPECH;11033;Belpech;598115.0;6235130.0;R;;0511033V001;BELPECH;;1000.0;Secondaire bio (Ntk);150.0;;;;;11033;Belpech;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;598194.0;6235140.0
RJ;0511033V0021;BELPECH (HAMEAU DE TRESMEZES );11033;Belpech;599712.0;6231310.0;R;;0511033V002;BELPECH (HAMEAU DE TRESMEZES );;35.0;Secondaire bio (Ntk);5.0;;;;;11033;Belpech;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;599712.0;6231310.0
RJ;0511419V0011;VILLAUTOU;11419;Villautou;605424.0;6229900.0;R;;0511419V001;VILLAUTOU;Séparatif;50.0;Primaire bio simple (Décanteur Digesteur;7.0;;;;;11419;Villautou;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;605424.0;6229900.0
RJ;0511424V0011;VILLEFORT;11424;Villefort;622312.0;6206280.0;R;;0511424V001;VILLEFORT;;80.0;Secondaire bio (Ntk);12.0;;;;;11424;Villefort;11424000A;21110424500017;COMMUNE DE VILLEFORT ;622375.0;6206290.0
RJ;0512001V0011;AGEN D'AVEYRON;12001;Agen-d'Aveyron;673248.0;6361700.0;R;;0512001V001;AGEN D'AVEYRON;;850.0;Secondaire bio (Ntk);127.0;;;;;12001;Agen-d'Aveyron;12001000A;21120001900019;COMMUNE D'AGEN D'AVEYRON ;673272.0;6361640.0
RJ;0512004V0011;ALMONT LES JUNIES;12004;Almont-les-Junies;643668.0;6389620.0;R;;0512004V001;ALMON LES JUNIES;Séparatif;250.0;Secondaire bio (Ntk);65.0;;;;;12004;Almont-les-Junies;12089309A;20006706400010;DECAZEVILLE COMMUNAUTE ;643714.0;6389630.0
RJ;0512004V0021;ALMONT LES JUNIES (ROUTE DE FLAGNAC);12004;Almont-les-Junies;643392.0;6389690.0;F;;0512004V002;ALMONT LES JUNIES (ROUTE DE FLAGNAC);;40.0;Secondaire bio (Ntk);5.0;;;;;12004;Almont-les-Junies;12089309A;20006706400010;DECAZEVILLE COMMUNAUTE ;643398.0;6389720.0
RJ;0512004V0031;ALMONT LES JUNIES (HAMEAU DE LAVAL);12004;Almont-les-Junies;643623.0;6388020.0;F;;0512004V003;ALMONT LES JUNIES (HAMEAU DE LAVAL);;50.0;Secondaire bio (Ntk);7.0;;;;;12004;Almont-les-Junies;12089309A;20006706400010;DECAZEVILLE COMMUNAUTE ;643630.0;6388040.0
RJ;0512005V0011;ALPUECH (Bourg);12223;Argences en Aubrac;687518.0;6406900.0;R;;0512005V001;ALPUECH (Bourg);Séparatif;110.0;Secondaire bio (Ntk);16.0;;;;;12223;Argences en Aubrac;12223007A;20005584600014;COMMUNE DE ARGENCES EN AUBRAC ;687529.0;6406930.0
RJ;0512006V0011;ALRANCE (BOURG);12006;Alrance;674481.0;6336350.0;R;;0512006V001;ALRANCE (BOURG);;200.0;Secondaire bio (Ntk);30.0;;;;;12006;Alrance;12006000A;21120006800016;COMMUNE D'ALRANCE ;674332.0;6336400.0
RJ;0512006V0021;ALRANCE (MAS VIALA);12006;Alrance;674117.0;6340090.0;F;;0512006V002;ALRANCE (MAS VIALA);Séparatif;40.0;Secondaire bio (Ntk);6.0;;;;;12006;Alrance;12006000A;21120006800016;COMMUNE D'ALRANCE ;674127.0;6340090.0
RJ;0512006V0031;ALRANCE (La Capelle Farcel);12006;Alrance;672472.0;6338300.0;F;;0512006V003;ALRANCE (La Capelle Farcel);Séparatif;70.0;Secondaire bio (Ntk);12.0;12.0;;;;12006;Alrance;12006000A;21120006800016;COMMUNE D'ALRANCE ;672436.0;6338300.0
RJ;0512008V0011;ANGLARS ST FELIX;12008;Anglars-Saint-Félix;637768.0;6369360.0;R;;0512008V001;ANGLARS ST FELIX;;150.0;Secondaire bio (Ntk);23.0;;;;;12008;Anglars-Saint-Félix;12008000A;21120008400013;COMMUNE D'ANGLARS SAINT FELIX ;637759.0;6369430.0
RJ;0512008V0021;ANGLARS SAINT-FELIX (Saint-Félix);12008;Anglars-Saint-Félix;640829.0;6369000.0;R;;0512008V002;ANGLARS SAINT-FELIX (Saint-Félix);Séparatif;110.0;Secondaire bio (Ntk);17.0;;;;;12008;Anglars-Saint-Félix;12008000A;21120008400013;COMMUNE D'ANGLARS SAINT FELIX ;640890.0;6369030.0
